,Data_Source,Date,compound,neg,neu,pos,tweet
1627,@CBS,2017-12-04,0.25,0.0,0.867,0.133,73
1628,@CBS,2017-12-04,0.0,0.0,1.0,0.0,72
1629,@CBS,2017-12-04,0.0,0.0,1.0,0.0,71
1630,@CBS,2017-12-04,0.8591,0.0,0.513,0.487,70
1631,@CBS,2017-12-04,-0.2263,0.076,0.924,0.0,69
1632,@CBS,2017-12-04,0.5574,0.0,0.806,0.194,68
1633,@CBS,2017-12-04,0.3612,0.0,0.762,0.238,67
1634,@CBS,2017-12-04,0.4588,0.0,0.864,0.136,66
1635,@CBS,2017-12-04,0.807,0.0,0.644,0.356,65
1636,@CBS,2017-12-04,0.4574,0.0,0.87,0.13,64
1637,@CBS,2017-12-04,-0.2263,0.095,0.905,0.0,63
1638,@CBS,2017-12-03,0.8271,0.0,0.648,0.352,62
1639,@CBS,2017-12-03,0.7783,0.0,0.714,0.286,61
1640,@CBS,2017-12-03,0.8658,0.0,0.614,0.386,60
1641,@CBS,2017-12-03,0.8516,0.0,0.647,0.353,59
1642,@CBS,2017-12-03,0.7897,0.0,0.72,0.28,58
1643,@CBS,2017-12-02,0.6166,0.0,0.825,0.175,57
1644,@CBS,2017-12-02,0.1867,0.0,0.902,0.098,56
1645,@CBS,2017-12-02,0.6996,0.0,0.821,0.179,55
1646,@CBS,2017-12-02,-0.3595,0.128,0.872,0.0,54
1647,@CBS,2017-12-01,0.3612,0.0,0.884,0.116,53
1648,@CBS,2017-12-01,0.4199,0.0,0.866,0.134,52
1649,@CBS,2017-12-01,0.7707,0.0,0.718,0.282,51
1650,@CBS,2017-12-01,0.0,0.0,1.0,0.0,50
1651,@CBS,2017-12-01,0.8221,0.0,0.691,0.309,49
1652,@CBS,2017-12-01,0.0,0.0,1.0,0.0,48
1653,@CBS,2017-12-01,0.0,0.0,1.0,0.0,47
1654,@CBS,2017-12-01,0.0,0.0,1.0,0.0,46
1655,@CBS,2017-12-01,0.6893,0.0,0.749,0.251,45
1656,@CBS,2017-12-01,0.1901,0.0,0.907,0.093,44
1657,@CBS,2017-12-01,0.296,0.0,0.872,0.128,43
1658,@CBS,2017-11-30,0.0,0.0,1.0,0.0,42
1659,@CBS,2017-11-30,0.6115,0.0,0.773,0.227,41
1660,@CBS,2017-11-30,0.0,0.0,1.0,0.0,40
1661,@CBS,2017-11-30,0.6808,0.0,0.752,0.248,39
1662,@CBS,2017-11-30,0.3612,0.0,0.865,0.135,38
1663,@CBS,2017-11-30,0.0,0.0,1.0,0.0,37
1664,@CBS,2017-11-30,-0.3595,0.128,0.872,0.0,36
1665,@CBS,2017-11-30,0.6239,0.0,0.55,0.45,35
1666,@CBS,2017-11-30,0.0,0.0,1.0,0.0,34
1667,@CBS,2017-11-30,0.5542,0.0,0.796,0.204,33
1668,@CBS,2017-11-30,0.0,0.0,1.0,0.0,32
1669,@CBS,2017-11-30,0.0,0.0,1.0,0.0,31
1670,@CBS,2017-11-30,0.0,0.0,1.0,0.0,30
1671,@CBS,2017-11-30,0.7482,0.0,0.566,0.434,29
1672,@CBS,2017-11-30,0.8513,0.0,0.458,0.542,28
1673,@CBS,2017-11-30,0.7232,0.0,0.698,0.302,27
1674,@CBS,2017-11-30,0.0,0.0,1.0,0.0,26
1675,@CBS,2017-11-30,0.8979,0.049,0.557,0.394,25
1676,@CBS,2017-11-30,0.0,0.0,1.0,0.0,24
1677,@CBS,2017-11-30,0.6988,0.0,0.548,0.452,23
1678,@CBS,2017-11-30,0.0,0.0,1.0,0.0,22
1679,@CBS,2017-11-30,0.7067,0.0,0.754,0.246,21
1680,@CBS,2017-11-30,0.0,0.0,1.0,0.0,20
1681,@CBS,2017-11-30,0.0,0.0,1.0,0.0,19
1682,@CBS,2017-11-30,0.6514,0.0,0.842,0.158,18
1683,@CBS,2017-11-30,0.1139,0.0,0.936,0.064,17
1684,@CBS,2017-11-29,0.6825,0.0,0.772,0.228,16
1685,@CBS,2017-11-29,0.5826,0.0,0.848,0.152,15
1686,@CBS,2017-11-29,0.0,0.0,1.0,0.0,14
1687,@CBS,2017-11-29,0.0,0.0,1.0,0.0,13
1688,@CBS,2017-11-29,0.0,0.0,1.0,0.0,12
1689,@CBS,2017-11-29,0.0,0.0,1.0,0.0,11
1690,@CBS,2017-11-29,0.4559,0.0,0.858,0.142,10
1691,@CBS,2017-11-29,0.0,0.0,1.0,0.0,9
1692,@CBS,2017-11-29,0.6124,0.0,0.8,0.2,8
1693,@CBS,2017-11-29,0.4926,0.0,0.842,0.158,7
1694,@CBS,2017-11-29,0.6696,0.0,0.809,0.191,6
1695,@CBS,2017-11-29,0.6696,0.0,0.817,0.183,5
1696,@CBS,2017-11-29,0.4201,0.087,0.754,0.158,4
1697,@CBS,2017-11-29,0.5826,0.0,0.848,0.152,3
1698,@CBS,2017-11-29,0.5106,0.0,0.751,0.249,2
1699,@CBS,2017-11-29,0.9476,0.0,0.551,0.449,1
1700,@CNN,2017-12-11,-0.4207,0.243,0.574,0.183,100
